symbol,rank,score,short_term_score,composite_score
BCHP,1,0.9776942355889725,0.0,0.6051260797152826
OGIG,2,0.9724466493424679,0.0,0.628218769480968
AIUP,3,0.8995535714285714,0.0,0.5845317525233474
DUNK,4,0.8988095238095238,0.0,0.565943012124343
TEK,5,0.7182054192623872,0.0,0.581888506785033
