symbol,technical_score,fundamental_score,sentiment_score,composite_score,current_price,price_change_1d,price_change_1w,market_regime,volatility_regime,atr,data_points,position_pct
XLE,0.5936124782728199,0.7350000000000001,0.8670244162877867,0.6907111223939674,55.08000183105469,0.4742833594999496,3.670244162877867,bull,moderate,1.1265215598755622,124,0.2
XLC,0.5952703166336674,0.6247500075,0.6297523198489214,0.6110106245366179,111.63999938964844,1.022529392429994,1.2975231984892144,bull,moderate,1.9017791634150336,124,0.2
QUAL,0.4964331867710816,0.7545000000000001,0.5549222810230443,0.5855510495901497,219.69000244140625,0.5446235429776847,0.5492228102304431,bull,moderate,2.435581672057873,124,0.2
XLU,0.5168246627017674,0.7350000000000001,0.5242826958508124,0.5837688705210462,45.40999984741211,0.6204271497230129,0.2428269585081244,bull,moderate,0.6763315266873914,124,0.2
VTI,0.4764343214646246,0.7987500000000001,0.5274434034714011,0.5833308414265925,372.6900024414063,0.3338242545766423,0.2744340347140106,bull,moderate,4.444612789138337,124,0.2
XLF,0.488903800284778,0.6682499962499999,0.4234057160935651,0.529608042236102,55.709999084472656,0.3060824021300812,-0.7659428390643486,bull,moderate,0.7641028261625712,124,0.2
